OrgName,SubOrgName
NewSouthGroup,854903
NewSouthGroup,756822
NewSouthGroup,433725
NewSouthGroup,666648
NewSouthGroup,139926
NewSouthGroup,994069
NewSouthGroup,311286
NewSouthGroup,691383
NewSouthGroup,106981
NewSouthGroup,349094
NewSouthGroup,928889
NewSouthGroup,SouthGroup
SouthWestGroup,795135
SouthWestGroup,324699
SouthWestGroup,394761
SouthWestGroup,426241
SouthWestGroup,172553
SouthWestGroup,791061
SouthWestGroup,995520
SouthWestGroup,195795
SouthWestGroup,869557
SouthWestGroup,194628
SouthWestGroup,754482
SouthWestGroup,385673
NorthGroup,852310
NorthGroup,697559
NorthGroup,847340
NorthGroup,920243
NorthGroup,987929
NorthGroup,764226
NorthGroup,421619
NorthGroup,659396
SouthEastGroup,736811
SouthEastGroup,198177
SouthEastGroup,574322
SouthEastGroup,873958
SouthEastGroup,293003
SouthEastGroup,857077
SouthEastGroup,827590
SouthEastGroup,303703
SouthEastGroup,588915
SouthEastGroup,218026
WestCoastGroup,983937
WestCoastGroup,321210
WestCoastGroup,717699
WestCoastGroup,451992
WestCoastGroup,842620
WestCoastGroup,962004
WestCoastGroup,339209
WestCoastGroup,878626
WestCoastGroup,315948
WestCoastGroup,616187
WestCoastGroup,722127
WestCoastGroup,554222
WestCoastGroup,333105
NewDesertGroup,790899
NewDesertGroup,912132
NewDesertGroup,228679
NewDesertGroup,114304
NewDesertGroup,361966
NewDesertGroup,945811
NewDesertGroup,308736
NewDesertGroup,804490
NewDesertGroup,931175
ExampleHealthCareSystem,NewSouthGroup
ExampleHealthCareSystem,SouthWestGroup
ExampleHealthCareSystem,NorthGroup
ExampleHealthCareSystem,SouthEastGroup
ExampleHealthCareSystem,WestCoastGroup
ExampleHealthCareSystem,NewDesertGroup
